Puntos Verdes y reciclaje vecinal;Facilitar separación de residuos, reciclaje y disposición responsable;Ambiente / Residuos;2024;Red habilitada;Éxito: ampliación sostenida;
Bibliotecas + cultura: red cultural municipal;Expandir espacios culturales en barrios, con actividades diversas;Cultura / Comunidad;2015–2022;Red activa e integrada;Éxito: crecimiento constante de espacios y usuarios;
Bienestar animal: campañas y adopción responsable;Promover tenencia responsable y adopciones en diversidad de especies;Bienestar animal / Salud;Desde 2015;Programas consolidados;Éxito: continuidad y crecimiento de adopciones;
Restricción al estacionamiento para personas con discapacidad;Limitar espacios reservados y aplicar criterios técnicos de certificación para estacionamiento;Movilidad / Inclusión;Mayo?2025;Proyecto polémico;"Fracaso: excluye a personas con diagnóstico no técnico; crítica fuerte ";
Apropiación del patrimonio cultural (subsecretaría de Cultura);Control de marcas, dominios institucionales (“Lumiton”) por parte de exfuncionario;Cultura / Gestión pública;Mayo?2025;Desvinculación del funcionario;Fracaso/Escándalo: intento de privatización de patrimonio público;
Promesa de “Más salud y educación”;Aumentar servicios de salud y educación prometidos en campaña;Salud y Educación;2023–2024;Promesas no cumplidas;Fracaso: críticas por cierre de guardias y falta de impacto;
Gestión de barrios populares (Soledad Martínez);Urbanizar y atender necesidades de barrios populares;Urbanismo / Inclusión social;2023–2024;No urbanizado, carencias persistentes;Fracaso: falta de respuestas a hacinamiento y pobreza;
Campañas de prevención sanitaria (ej. dengue);Prevenir brotes en barrios vulnerables;Salud pública;Verano 2023–2024;Insuficiente intervención;Fracaso parcial: repuntes de dengue sin acciones efectivas;
Contratos irregulares / allanamientos (2016);Compra sin licitación de camionetas Hilux vinculadas a Concesionaria de la hermana del intendente;Seguridad / Transparencia;2014–2016;Investigación y polémica pública;Fracaso: señal de corrupción y falta de transparencia;
;;;;;;
Sin inauguración de escuelas municipales;Construir jardines, primarias y secundarias locales;Educación;2011–2021;Ningún establecimiento construido;Fracaso: durante 2 intendencias y media de Jorge Macri no se inauguró ni una escuela municipal, pese a demandas de vacantes Tiempo Argentino;
Vaciamiento de Centros de Atención Primaria de Salud (CAPS);Mantener atención en salud cerca del vecino;Salud pública;2023–2024;"4 CAPS cerrados; otros operan con personal mínimo";"Fracaso: desmantelamiento denunciado por Concejo Deliberante; atención médica reducida Tiempo Argentino";
Subejecución del presupuesto de viviendas sociales;Implementar vivienda social para barrios vulnerables;Vivienda / Urbanización;2022;Solo ejecutado el 36 % del presupuesto;"Fracaso: de $233 millones ARS, solo $84 millones invertidos; apenas unas 20 viviendas entregadas para más de 4 000 familias necesitadas Tiempo Argentino";
Presupuesto Participativo con recursos simbólicos;Empoderar vecinos para decidir sobre inversión barrial;Participación ciudadana;2023;Presupuesto simbólico (0,42 %);Fracaso: pocos recursos reales destinados, mientras la publicidad gastó tres veces más Zona Norte Visión;
Desigual distribución del presupuesto según zona del distrito;Brindar servicios equitativos a todo el municipio;Equidad / Presupuesto municipal;2025;70 % del presupuesto concentrado en zona acomodada;Fracaso: profundiza desigualdad entre sectores este y oeste del municipio Grupo La Provincia;
Incumplimiento de promesas de “Más salud y educación”;Fortalecer servicios sanitarios y educativos;Salud y Educación;2023–2024;Servicios reducidos o cerrados;"Fracaso: promesas incumplidas; cerraron guardias y se redujo la atención primaria Grupo La Provincia";
Construcciones descontroladas y urbanización deficiente;Modernizar infraestructura sin perder identidad barrial;Urbanismo / Medio ambiente;2020–2025;Más torres, menos planificación;Fracaso: quejas por sobreedificación, problemas en desagües y falta de planificación urbana real Grupo La Provincia;
Persecución laboral y precarización de empleados municipales;Reestructurar eficiencia interna del municipio;Gestión municipal / RRHH;2020–2022;Hostigamiento laboral, contratos precarios;Fracaso: empleados acusaron persecución, despidos, precarización y clima laboral hostil Prensa Obrera;
Despidos masivos como estrategia política del intendente García;Reorganizar o negociar puestos en el Concejo Deliberante;Gestión municipal / Política;2025;Más de 100 despidos;Fracaso: despidos tras derrota electoral eran utilizados como presión política;
Subejecución de viviendas sociales (persistente);Implementar plan de vivienda para familias necesitadas;Vivienda / Inclusión social;2019–2022;Solo se ejecutó el 36 % del presupuesto;"Fracaso: entre $233 M presupuestados, solo $84 M invertidos; quedaron miles de familias sin vivienda";
Cierre y debilitamiento de CAPS (Unidades de Atención Primarias);Mantener atención médica integral cerca del vecino;Salud pública;2023–2025;"4 CAPS cerrados; otros reducidos a enfermería o administración";Fracaso: vaciamiento denunciado por la oposición, con atención primaria muy limitada;
Aprobación masiva de excepciones edilicias al COU;Regularización y autorización de obras fuera de normas urbanísticas;Urbanismo;2011–2023;Más de 500 excepciones aprobadas;Fracaso: exacerbó la construcción de torres, redujo espacio verde y alteró identidad barrial;
Falta total de nuevas escuelas municipales;Construir escuelas propias para ampliar oferta educativa;Educación;2011–2021;Ninguna escuela municipal inaugurada;Fracaso: contrastando anteriores gestión del municipio que inauguró varias, esta gestión no inauguró ninguna;
Desidia estatal que culminó en muertes por incendio;Garantizar condiciones habitacionales seguras en barrios vulnerables;Infraestructura / Emergencia;may-25;Fallecieron 2 personas por instalaciones eléctricas precarias;Fracaso grave: las conexiones deficientes (agua, gas, electricidad) generaron tragedia y reflejan abandono estatal;
Demanda millonaria por derogación de ordenanza (Howard Johnson);Permitir construcción y operación de hotel de lujo;Urbanismo / Ordenamiento urbano;2009–2014;Demanda por USD 60 M contra el municipio;Fracaso judicial: se derogó la ordenanza, pero se enfrentó una demanda millonaria contra el municipio;
Destrucción de infraestructura escolar pública (riesgo y abandono);Garantizar espacios educativos adecuados;Educación / Infraestructura;Años recientes;Escuelas demolidas o en riesgo de hundimiento;Fracaso estructural: techos que se hunden, inhabilitación de espacios, traslado de alumnos, condiciones infrahumanas;
Distribución desigual de recursos entre zonas del municipio;Lograr equidad territorial en inversiones municipales;Equidad / Presupuesto;2023–2025;Concentración de gasto en zonas acomodadas;Fracaso: la concejala opositora denunció una marcada inequidad en asignación presupuestaria;
Política pública;Objetivo principal;Grupo;Fecha / Periodo;Resultado final;Evaluación;
Plan de Vivienda Social de Vicente López;Construir viviendas para familias de bajos recursos;Vivienda / Inclusión;2019–2022;Solo se ejecutó 36% del presupuesto;Fracaso: baja ejecución y persistencia del déficit habitacional;
Cierre de CAPS en Vicente López;Mantener atención médica descentralizada;Salud Pública;2023–2025;4 centros cerrados o reducidos;Fracaso: pérdida de acceso sanitario básico;
Excepciones al Código Urbano de Vicente López;Permitir torres y obras fuera de norma;Urbanismo;2015–2023;Más de 500 excepciones aprobadas;Fracaso: pérdida de espacio verde, congestión y gentrificación;
Falta de escuelas municipales nuevas (Vicente López);Ampliar oferta educativa pública;Educación;2011–2023;0 escuelas nuevas;Fracaso: ausencia total de infraestructura educativa nueva;
Bolsa Verde (La Plata);Implementar recolección selectiva de residuos;Medioambiente;2010–2024;Sistema ineficiente, baja recuperación;Fracaso: recolección <3%, microbasurales persistentes;
Guardianes Ambientales (La Plata);Sustituir Bolsa Verde para mejorar reciclaje;Medioambiente;2024–2025;Mejoras mínimas, logística deficiente;Parcialmente fallida: sin resultados medibles aún;
Plan de Seguridad Municipal (La Plata);Incrementar patrullaje y cámaras;Seguridad;2023–2025;Persisten delitos graves;Fracaso: percepción de inseguridad no mejoró;
Proyecto Costa de San Isidro;Desarrollar urbanísticamente la ribera;Urbanismo / Turismo;2020–2024;Proyecto frenado por amparos;Fracaso: oposición vecinal y judicialización;
Ocultamiento de Villa Garrote (Tigre);“Ordenar” imagen urbana;Inclusión / Urbanismo;2019–2022;Denuncias por exclusión social;Fracaso ético y comunicacional;
Barrios cerrados en Tigre;Fomentar desarrollo residencial;Urbanismo;2010–2023;40% del territorio privatizado;Fracaso social: desigualdad territorial y exclusión;
Muros separadores en Tigre;“Ordenar” límites urbanos;Urbanismo / Seguridad;2015–2022;Críticas por discriminación;Fracaso simbólico: profundiza división social;
Gestión de residuos en Morón;Mejorar limpieza urbana;Medioambiente;2016–2020;Acumulación de basura y quejas vecinales;Fracaso: logística deficiente y protestas;
Contrataciones “fantasma” (Morón);Mejorar comunicación municipal;Administración;2016–2020;Irregularidades en contrataciones;Fracaso: denuncias por corrupción;
Cooperativas adjudicadas (Quilmes);Ampliar obras rápidas por emergencia;Obras Públicas;2020–2022;Denuncias de sobreprecios;Fracaso: falta de control y transparencia;
Inundaciones en Avellaneda;Prevenir anegamientos;Infraestructura;2018–2025;Inundaciones recurrentes;Fracaso: mantenimiento insuficiente;
Subejecución de presupuesto escolar (Vicente López);Reparar y ampliar infraestructura educativa;Educación;2021–2024;Escuelas con riesgo edilicio;Fracaso: peligro estructural y suspensión de clases;
Reorganización del transporte local (San Isidro);Optimizar tránsito y seguridad vial;Transporte;2021–2023;Congestión aumentó;Fracaso parcial: planificación insuficiente;
Proyecto costero en Quilmes;Revitalizar la ribera;Urbanismo / Turismo;2022–2024;Obras demoradas, oposición vecinal;Fracaso parcial: impactos ambientales no mitigados;
Transparencia durante pandemia (varios municipios GBA);Acelerar contrataciones en emergencia;Gestión Pública;2020;Investigaciones por compras directas irregulares;Fracaso: falta de rendición de cuentas;
Plan de Inclusión Digital (varios municipios);Reducir brecha digital post-pandemia;Educación / Tecnología;2021–2023;Baja cobertura en barrios populares;Fracaso parcial: escasa conectividad real;
Programa “Tigre Recicla” (Tigre);Implementar separación de residuos en origen;Medioambiente;2020–2025;Aumento de 40% en reciclaje;Éxito: sostenido con educación ambiental y logística privada;
Plan de “Cámaras Seguras” (Tigre);Incrementar monitoreo urbano con cámaras y botón de pánico;Seguridad;2018–2025;Reducción de delitos en un 30% según informes locales;Éxito: ejemplo regional de prevención tecnológica;
Obras de contención costera (Tigre);Evitar erosión en zona Delta;Infraestructura;2021–2024;Avances lentos, sobrecostos;Fracaso parcial: sobrepresupuesto y conflictos ambientales;
Plan de Iluminación LED (San Isidro);Sustituir luminarias por LED;Energía / Ambiente;2019–2023;95% del distrito iluminado;Éxito: ahorro energético y reducción de vandalismo;
Proyecto “Costa Pública” (San Isidro);Garantizar acceso libre a la ribera;Urbanismo;2020–2023;Espacios abiertos y nuevos parques;Éxito: alto uso ciudadano y revalorización del entorno;
Sistema de Estacionamiento Medido (San Isidro);Ordenar estacionamiento céntrico;Movilidad;2022–2024;Quejas vecinales y baja aceptación;Fracaso: resistencia ciudadana y fallas técnicas;
Programa “Ciudad Verde” (San Fernando);Promover reciclaje y huertas urbanas;Medioambiente;2020–2025;Ampliación de recolección diferenciada;Éxito: alto compromiso vecinal;
Plan “Escuelas Renovadas” (San Fernando);Modernizar escuelas provinciales y municipales;Educación;2019–2024;50 escuelas refaccionadas;Éxito: mejora edilicia y pedagógica;
Programa de Poda Urbana (San Fernando);Mantener arbolado y evitar accidentes;Medioambiente;2022–2025;Mal planificado, quejas por talas excesivas;Fracaso: falta de planificación ambiental;
Programa “Morón Saludable” (Morón);Ampliar acceso a controles sanitarios;Salud Pública;2019–2023;Nuevos centros y vacunación móvil;Éxito: cobertura sanitaria ampliada;
Plan de Ordenamiento del Tránsito (Morón);Mejorar circulación y transporte público;Transporte;2020–2024;Persisten embotellamientos;Fracaso parcial: medidas insuficientes;
Plan de Vivienda “Techo Digno” (Tres de Febrero);Construir viviendas sociales;Vivienda;2018–2023;Obras demoradas, irregularidades;Fracaso: baja ejecución y denuncias por corrupción;
Programa “Municipio Digital” (Tres de Febrero);Digitalizar trámites y servicios;Modernización;2021–2024;Portal activo y trámites en línea;Éxito: reducción de tiempos y burocracia;
Plan de Reconversión de Alumbrado (Ituzaingó);Aumentar iluminación LED;Energía;2020–2024;80% de cobertura alcanzada;Éxito: mejora urbana y ahorro energético;
Obras de Desagüe Pluvial (Ituzaingó);Evitar inundaciones en barrios bajos;Infraestructura;2019–2023;Obras inconclusas y anegamientos;Fracaso: impacto limitado;
Programa “San Miguel Seguro” (San Miguel);Instalar cámaras y patrullaje inteligente;Seguridad;2019–2025;Mejora perceptible en seguridad;Éxito: modelo replicado en otros municipios;
Plan “Tu Plaza Limpia” (San Miguel);Mantenimiento de espacios verdes;Espacio público;2021–2025;Mantenimiento irregular;Fracaso parcial: bajo cumplimiento;
Programa “Escuelas Digitales” (Quilmes);Dotar de tecnología a aulas municipales;Educación / Tecnología;2021–2024;200 aulas equipadas;Éxito: buena implementación educativa;
Plan de Desagües del Sur (Quilmes);Mejorar infraestructura pluvial;Infraestructura;2018–2023;Obras demoradas;Fracaso parcial: burocracia y financiamiento;
Proyecto “Avellaneda Educa” (Avellaneda);Becas y conectividad educativa;Educación;2020–2025;Más de 12.000 becas entregadas;Éxito: alto impacto social;
Plan de Inundaciones (Avellaneda);Mejorar drenaje urbano;Infraestructura;2019–2024;Persisten inundaciones;Fracaso: planificación deficiente;
Plan “La Plata Recicla”;Recolección selectiva integral;Medioambiente;2023–2025;Implementación inicial deficiente;Fracaso parcial: baja adhesión vecinal;
Programa “Cultura en tu Barrio” (La Plata);Descentralizar actividades culturales;Cultura;2021–2024;Alta participación en barrios;Éxito: fortalecimiento comunitario;
Plan de Transporte Urbano (Mar del Plata);Mejorar frecuencia de colectivos;Transporte;2018–2025;Tarifas altas y conflictos sindicales;Fracaso: sin mejoras significativas;
Programa “Plaza para Todos” (Mar del Plata);Renovar espacios verdes;Espacio público;2020–2024;70 plazas renovadas;Éxito: buena recepción ciudadana;
Plan de Seguridad “Ojos en Alerta” (San Miguel);Implementar alerta vecinal vía WhatsApp;Seguridad;2018–2025;Alta efectividad y réplicas nacionales;Éxito: modelo exitoso de participación;
Plan “Ciudad Inteligente” (Córdoba Capital);Incorporar sensores y Big Data en gestión urbana;Innovación / Tecnología;2020–2025;Avances limitados;Fracaso parcial: infraestructura insuficiente;
Programa “Verde que te Quiero Verde” (Mendoza Capital);Reforestación y compostaje;Medioambiente;2021–2025;40.000 árboles plantados;Éxito: impacto ambiental visible;
Plan “Rosario Conecta”;Integrar barrios con fibra óptica y Wi-Fi libre;Tecnología / Inclusión;2020–2025;Cobertura parcial alcanzada;Éxito parcial: reducción de brecha digital;
Proyecto “Rosario sin Basura”;Reducir residuos y mejorar limpieza urbana;Medioambiente;2020–2024;Resultados desiguales entre zonas;Fracaso parcial: desigualdad en implementación;
Suspensión de urbanizaciones ilegales;Detener construcciones sin habilitación ni impacto ambiental;Urbanismo / Regulación;2024;400 urbanizaciones paralizadas en La Plata por incumplir normativas;Fracaso de control previo: la acción correctiva fue tardía;
Obras concentradas en zonas céntricas;Priorizar infraestructura y estética urbana;Obras Públicas;2023–2025;Mejoras visibles en el centro, pero barrios periféricos siguen sin servicios;Fracaso parcial: desigualdad territorial en inversión;
Guardianes Ambientales;Sustituir sistema de reciclaje “Bolsa Verde”;Medioambiente;2024–2025;Persisten microbasurales y baja adhesión vecinal;Fracaso: política reemplazó un sistema fallido por otro deficiente;
PRO.MU.CO (Compactación de vehículos);Retirar autos abandonados y liberar espacio público;Espacio público / Seguridad vial;2024–2025;Cientos de vehículos retirados, pero sin plan de seguimiento;Éxito parcial: buen inicio, falta mantenimiento sostenido;
Folleto de “Consumo Responsable”;Promover reducción de daños en consumo de drogas;Salud / Juventud;2021;Campaña retirada por rechazo público masivo;Fracaso comunicacional: daño reputacional severo;
Intervención en Plaza de la Cultura;Recuperar espacio público y regular manteros;Espacio público / Comercio;2025;Plaza renovada, pero conflictos con manteros continúan;Fracaso parcial: infraestructura lograda, problema social sin resolver;
Cambios de gabinete con denuncias políticas;Reorganizar gestión interna municipal;Gobernanza / Política;2025;Renuncias y acusaciones cruzadas en Morón;Fracaso institucional: afecta imagen y gobernabilidad;
Programa “Ciudad sin Motos Ruidosas”;Reducir contaminación sonora por motos sin silenciador;Medioambiente / Seguridad vial;2023–2024;Falta de control sostenido y escasa adhesión de conductores;Fracaso: implementación intermitente y sin sanciones reales;
Plan “Calles Limpias”;Mejorar limpieza urbana en barrios periféricos;Medioambiente / Servicios urbanos;2021–2024;"Inconsistencia en recolección; reclamos vecinales continuos";Fracaso parcial: falta de coordinación con empresas contratadas;
“Obras con Vos” (San Fernando);Acelerar obras públicas con participación vecinal;Obras Públicas / Participación ciudadana;2022–2024;Retrasos y quejas por obras inconclusas;Fracaso: baja ejecución presupuestaria;
“Plan de Veredas Seguras” (Tres de Febrero);Reparar veredas con prioridad en accesibilidad;Infraestructura;2020–2023;Solo 40% del plan completado;Fracaso parcial: falta de presupuesto y control de contratistas;
“Juventud en Movimiento” (San Martín);Promover empleo y voluntariado joven;Juventud / Inclusión social;2021–2024;Escasa participación sostenida;Fracaso parcial: objetivos sociales no alcanzados;
“Transporte Vecinal” (Ituzaingó);Crear líneas municipales de microbuses;Movilidad urbana;2019–2023;Servicio suspendido por baja demanda;Fracaso operativo: modelo no sostenible económicamente;
“Ecopuntos Barriales” (Hurlingham);Implementar reciclaje comunitario;Medioambiente;2022–2025;Falta de recolección regular y mantenimiento;Fracaso: abandono progresivo del programa;
“Barrio Seguro” (Quilmes);Implementar patrullaje vecinal mixto;Seguridad;2020–2024;Poca coordinación con fuerzas policiales;Fracaso parcial: baja efectividad en reducción delictiva;
“Varela Emprende” (Florencio Varela);Capacitar microemprendedores locales;Economía / Desarrollo social;2021–2024;Alta inscripción inicial, baja continuidad;Fracaso parcial: falta de acompañamiento post-formación;
“Cultura Joven” (Avellaneda);Promover expresiones culturales barriales;Cultura;2019–2024;Bajo presupuesto y alcance reducido;Fracaso: impacto cultural mínimo;
“Conectados” (Berazategui);Brindar internet gratuito en plazas;Tecnología / Inclusión digital;2020–2023;Cobertura intermitente y fallas de conexión;Fracaso parcial: buena intención, mala ejecución;
“Obras Rápidas” (Ezeiza);Agilizar obras menores de mantenimiento;Infraestructura;2021–2024;Ejecución irregular, contrataciones directas sin control;Fracaso: denuncias por sobrecostos;
“Ciudad Accesible” (Lanús);Mejorar accesibilidad urbana para personas con discapacidad;Inclusión / Infraestructura;2020–2024;Rampas sin mantenimiento, obras incompletas;Fracaso parcial: ejecución simbólica sin mantenimiento;
“Ojos en Alerta” (San Miguel);Implementar sistema de alerta vecinal por WhatsApp;Seguridad / Participación ciudadana;2018–2025;Réplicas en 100 municipios, reducción de delitos;Éxito rotundo;
“Ciudad LED” (San Isidro);Sustituir luminarias por tecnología LED;Energía / Medioambiente;2019–2024;Cobertura del 100% en vía pública;Éxito;
“Costa Pública” (San Isidro);Abrir acceso libre al río y sumar parques costeros;Urbanismo / Espacio público;2020–2023;Nuevas áreas verdes y alto uso vecinal;Éxito;
“Tigre con Vos”;Descentralizar trámites y servicios municipales;Modernización / Atención ciudadana;2021–2025;10 sedes barriales activas;Éxito;
“Tigre Recicla”;Fomentar separación de residuos en origen;Medioambiente;2020–2025;45% de hogares adheridos;Éxito;
“San Fernando Educa”;Becas y apoyo escolar gratuito;Educación / Inclusión;2019–2025;9.000 becas otorgadas;Éxito;
“Plazas de la Familia” (San Fernando);Renovar y crear plazas seguras;Espacio público;2018–2025;30 plazas renovadas;Éxito;
“Transparencia Activa” (Tres de Febrero);Publicar gastos, licitaciones y datos abiertos;Gobernanza / Modernización;2020–2024;Portal actualizado y consultas públicas activas;Éxito;
“Centro de Monitoreo 360°” (Tres de Febrero);Centralizar cámaras y emergencias;Seguridad;2021–2025;Mejora de tiempos de respuesta en 25%;Éxito;
“Ciudad Digital” (Morón);Digitalización integral de trámites;Tecnología / Administración;2020–2025;Reducción de 60% en trámites presenciales;Éxito;
“Morón Verde”;Compost y reciclaje domiciliario;Medioambiente;2021–2025;Participación sostenida y premiaciones ambientales;Éxito;
“Quilmes Iluminado”;Renovación de alumbrado público;Energía / Seguridad;2021–2024;Cobertura total en avenidas principales;Éxito;
“Quilmes Aprende”;Alfabetización digital y educativa;Educación / Tecnología;2020–2025;5.000 vecinos capacitados;Éxito;
“Avellaneda Conectada”;Wi-Fi gratuito en espacios públicos;Tecnología / Inclusión digital;2020–2024;80 puntos activos;Éxito;
“Lomas Digital” (Lomas de Zamora);Trámites en línea y portal ciudadano;Modernización;2020–2025;Más del 70% de trámites digitalizados;Éxito;
“Pilar Sustentable”;Energías renovables en edificios públicos;Energía / Medioambiente;2021–2025;25 escuelas con paneles solares;Éxito;
“Campana Emprende”;Capacitar y financiar PYMEs locales;Economía / Producción;2020–2025;400 emprendimientos sostenidos;Éxito;
“Hurlingham Salud”;Fortalecer atención primaria barrial;Salud;2019–2024;4 nuevos CAPS y 2 móviles sanitarios;Éxito;
“San Martín Produce”;Fomentar empleo industrial local;Economía / Desarrollo;2021–2024;1.200 empleos generados;Éxito;
“Ituzaingó Verde”;Reforestación y compost comunitario;Medioambiente;2020–2025;15.000 árboles plantados y 10 ecopuntos activos;Éxito;
“Ley de Déficit Cero”;Equilibrar el gasto público con los ingresos;Economía;2001;Ley declarada inconstitucional tras la crisis de 2002;Fracaso;
“Programa de Capacitación Laboral”;Mejorar la empleabilidad de la población;Trabajo / Empleo;2000–2003;Evaluación crítica por falta de impacto en el mercado laboral;Fracaso;
“Sistema de Evaluación Educativa” (Finocchiaro);Mejorar la calidad educativa nacional;Educación;2017–2019;Caída en los resultados de evaluaciones internacionales como ERCE y PISA;Fracaso;
“Ministerio de las Mujeres, Géneros y Diversidad” (2021–2024);Combatir la violencia de género y promover la igualdad;Género / Diversidad;2021–2024;Subejecución presupuestaria y dificultades en el acceso a programas;Fracaso parcial;
“Plan Estratégico Consensuado de Catamarca”;Desarrollar un plan de inversión pública a largo plazo;Desarrollo regional;1996–2000;Limitado impacto debido a cambios políticos y falta de continuidad;Fracaso parcial;
“San Fernando Educa”;Becas y apoyo escolar gratuito;Educación / Inclusión;2019–2025;9.000 becas otorgadas;Éxito;
“Plazas de la Familia” (San Fernando);Renovar y crear plazas seguras;Espacio público;2018–2025;30 plazas renovadas;Éxito;
“Transparencia Activa” (Tres de Febrero);Publicar gastos, licitaciones y datos abiertos;Gobernanza / Modernización;2020–2024;Portal actualizado y consultas públicas activas;Éxito;
“Centro de Monitoreo 360°” (Tres de Febrero);Centralizar cámaras y emergencias;Seguridad;2021–2025;Mejora de tiempos de respuesta en 25%;Éxito;
“Ciudad Digital” (Morón);Digitalización integral de trámites;Tecnología / Administración;2020–2025;Reducción de 60% en trámites presenciales;Éxito;
“Morón Verde”;Compost y reciclaje domiciliario;Medioambiente;2021–2025;Participación sostenida y premiaciones ambientales;Éxito;
